dataset,abstraction_method,partition_num,abstract_state_num,epsilon,pca_dim,model_type,hmm_n_comp,grid_history_dependency_num,execution_time,aucroc,p_value,accuracy,f1_score,abnormal_threshold,settings
advglue++,GMM,,200,,512,DTMC,,,198.8018899,0.6900573348,0.04135655906,0.3669112742,0.2191442677,0.4934147196,GMM_200_512_DTMC_0_0
advglue++,GMM,,200,,1024,DTMC,,,325.4947143,0.7076991694,0.01014805895,0.3252168112,0.2176099007,0.4737249389,GMM_200_1024_DTMC_0_0
advglue++,GMM,,200,,2048,DTMC,,,379.5690031,0.7247839049,0.08590938755,0.3493440071,0.1860917942,0.4066428622,GMM_200_2048_DTMC_0_0
advglue++,GMM,,400,,512,DTMC,,,115.1773067,0.668730828,1.06E-12,0.3942628419,0.2456383273,0.5054135405,GMM_400_512_DTMC_0_0
advglue++,GMM,,400,,1024,DTMC,,,132.8656621,0.7034282713,9.81E-13,0.3455637091,0.2409079185,0.4863592153,GMM_400_1024_DTMC_0_0
advglue++,GMM,,400,,2048,DTMC,,,206.1933231,0.7079704863,1.91E-06,0.3841449855,0.2108562473,0.3876863164,GMM_400_2048_DTMC_0_0
advglue++,GMM,,800,,512,DTMC,,,147.5973122,0.6474908526,3.60E-10,0.4168334445,0.2696003342,0.4378903917,GMM_800_512_DTMC_0_0
advglue++,GMM,,800,,1024,DTMC,,,249.67449,0.6787979614,1.43E-10,0.3917055815,0.2251805693,0.4180783778,GMM_800_1024_DTMC_0_0
advglue++,GMM,,800,,2048,DTMC,,,393.4006422,0.6988693377,8.21E-17,0.342672893,0.1934515689,0.3971577137,GMM_800_2048_DTMC_0_0
advglue++,GMM,,1600,,512,DTMC,,,330.6660168,0.6383753366,2.06E-09,0.4211696687,0.2638574661,0.3900425047,GMM_1600_512_DTMC_0_0
advglue++,GMM,,1600,,1024,DTMC,,,435.7884581,0.6772923469,7.35E-08,0.395263509,0.2346981849,0.3865456042,GMM_1600_1024_DTMC_0_0
advglue++,GMM,,1600,,2048,DTMC,,,532.9245248,0.7124238515,0.0002423716884,0.3636869024,0.1920090357,0.3619655398,GMM_1600_2048_DTMC_0_0
advglue++,GMM,,3200,,512,DTMC,,,483.1701534,0.6434440873,0.0003205923464,0.3982655103,0.2466592428,0.3489417606,GMM_3200_512_DTMC_0_0
advglue++,GMM,,3200,,1024,DTMC,,,525.4850171,0.6921571427,0.005556253768,0.3367800756,0.2417694166,0.3729297615,GMM_3200_1024_DTMC_0_0
advglue++,GMM,,3200,,2048,DTMC,,,1408.607958,0.7064909946,0.003395984993,0.3383366689,0.2211752388,0.3559073923,GMM_3200_2048_DTMC_0_0
advglue++,GMM,,6400,,512,DTMC,,,1021.411994,0.6395424988,5.28E-11,0.384367356,0.2510482889,0.3238095238,GMM_6400_512_DTMC_0_0
advglue++,GMM,,6400,,1024,DTMC,,,1510.989273,0.7160332249,1.91E-08,0.3550144541,0.2208193418,0.3189549581,GMM_6400_1024_DTMC_0_0
advglue++,GMM,,6400,,2048,DTMC,,,2566.745794,0.7519465166,4.50E-15,0.3302201468,0.1955128205,0.3009557945,GMM_6400_2048_DTMC_0_0
advglue++,GMM,,12800,,512,DTMC,,,2066.344302,0.7157449609,3.55E-30,0.3878140983,0.215445996,0.2811533015,GMM_12800_512_DTMC_0_0
advglue++,GMM,,12800,,1024,DTMC,,,2434.953808,0.6715407488,2.84E-22,0.4267289304,0.2796870634,0.3299396682,GMM_12800_1024_DTMC_0_0
advglue++,GMM,,12800,,2048,DTMC,,,2558.295079,0.7188657093,2.93E-16,0.4010451412,0.2171196047,0.2891653116,GMM_12800_2048_DTMC_0_0
advglue++,GMM,,25600,,512,DTMC,,,1784.699574,0.7610148486,2.47E-03,0.191460974,0.2158723312,0.3333333333,GMM_25600_512_DTMC_0_0
advglue++,GMM,,25600,,1024,DTMC,,,2640.764807,0.76137495,2.07E-06,0.1645541472,0.2072167124,0.3333333333,GMM_25600_1024_DTMC_0_0
advglue++,GMM,,25600,,2048,DTMC,,,4079.054541,0.7482826447,1.39E-07,0.2021347565,0.2198303979,0.3333333333,GMM_25600_2048_DTMC_0_0
advglue++,KMeans,,200,,512,DTMC,,,48.447541,0.6315017359,0.628525805,0.3749166111,0.2984776641,0.5905262597,KMeans_200_512_DTMC_0_0
advglue++,KMeans,,200,,1024,DTMC,,,82.81134033,0.6118838822,0.5084373432,0.4313987103,0.2819432744,0.5075140512,KMeans_200_1024_DTMC_0_0
advglue++,KMeans,,200,,2048,DTMC,,,157.0032911,0.594316334,0.5322711913,0.4462975317,0.2863284609,0.5313372114,KMeans_200_2048_DTMC_0_0
advglue++,KMeans,,400,,512,DTMC,,,82.39766026,0.5857472722,1.36E-05,0.4684233934,0.2968083542,0.5297389251,KMeans_400_512_DTMC_0_0
advglue++,KMeans,,400,,1024,DTMC,,,141.4326377,0.5813253195,9.02E-05,0.4458527907,0.2906347851,0.4941710389,KMeans_400_1024_DTMC_0_0
advglue++,KMeans,,400,,2048,DTMC,,,270.6706865,0.6008617356,1.28E-05,0.4389593062,0.2659295898,0.5049476626,KMeans_400_2048_DTMC_0_0
advglue++,KMeans,,800,,512,DTMC,,,138.191185,0.5749403766,4.54E-11,0.4559706471,0.2853804586,0.4403321339,KMeans_800_512_DTMC_0_0
advglue++,KMeans,,800,,1024,DTMC,,,265.7158906,0.587936387,9.51E-07,0.4313987103,0.2952039691,0.4617366977,KMeans_800_1024_DTMC_0_0
advglue++,KMeans,,800,,2048,DTMC,,,492.6571457,0.5810220023,1.14E-11,0.463975984,0.3028199566,0.4331325973,KMeans_800_2048_DTMC_0_0
advglue++,KMeans,,400,,512,DTMC,,,85.29335713,0.6251117317,,0.4123860351,0.264849075,0.5474191719,KMeans_400_512_DTMC_0_0
advglue++,KMeans,,400,,1024,DTMC,,,146.9547665,0.6099398636,,0.4368467867,0.2954513841,0.5252141977,KMeans_400_1024_DTMC_0_0
advglue++,KMeans,,400,,2048,DTMC,,,284.3968503,0.576134935,,0.4297309317,0.2891198891,0.5022892858,KMeans_400_2048_DTMC_0_0
advglue++,KMeans,,800,,512,DTMC,,,144.6294496,0.5787267966,,0.440293529,0.2984949833,0.4562413247,KMeans_800_512_DTMC_0_0
advglue++,KMeans,,800,,1024,DTMC,,,259.5907021,0.5880205021,,0.4416277518,0.2900763359,0.4683342014,KMeans_800_1024_DTMC_0_0
